organisationunitname,District edit,orgunitlevel2,Upper Respiratory Tract Infections January 2019,Upper Respiratory Tract Infections February 2019,Upper Respiratory Tract Infections March 2019,Upper Respiratory Tract Infections April 2019,Upper Respiratory Tract Infections May 2019,Upper Respiratory Tract Infections June 2019,Upper Respiratory Tract Infections July 2019,Upper Respiratory Tract Infections August 2019,Upper Respiratory Tract Infections September 2019,Upper Respiratory Tract Infections October 2019,Upper Respiratory Tract Infections November 2019,Upper Respiratory Tract Infections December 2019,orgunitlevel2
Ablekuma Central,ABLEKUMA CENTRAL MUNICIPAL,Greater Accra,2,102,85,107,45,39,133,815,655,674,807,490,Greater Accra
Ablekuma North,ABLEKUMA NORTH MUNICIPAL,Greater Accra,351,199,187,168,30,110,0,0,198,0,113,124,Greater Accra
Ablekuma West,ABLEKUMA WEST MUNICIPAL,Greater Accra,561,347,390,321,279,336,720,521,587,785,1192,606,Greater Accra
Abuakwa North,ABUAKWA NORTH,Eastern,1522,1375,1220,1241,481,1088,1189,878,124,1017,1229,235,Eastern
Abura-Asebu-Kwamankese,ABURA-ASEBU-KWAMANKESE,Central,1481,1184,1254,1360,1398,1530,1794,1216,932,1628,2130,1900,Central
Accra Metro,ACCRA METROPOLIS,Greater Accra,2706,2519,2558,2464,3024,2824,3199,2632,2557,3456,2993,2125,Greater Accra
Achiase ,ACHIASE ,Eastern,552,393,516,746,562,623,759,495,410,471,720,818,Eastern
Ada East,ADA EAST,Greater Accra,669,551,487,364,529,452,563,460,293,640,882,536,Greater Accra
Ada West,ADA WEST,Greater Accra,300,368,274,224,335,322,143,367,468,345,463,288,Greater Accra
Adaklu,ADAKLU,Volta,571,399,385,333,359,512,899,712,564,823,1587,628,Volta
Adansi Akrofuom,ADANSI AKROFUOM,Ashanti,170,208,137,170,167,232,283,202,115,221,254,189,Ashanti
Adansi Asokwa,ADANSI ASOKWA,Ashanti,530,453,400,338,480,734,532,416,281,671,506,501,Ashanti
Adansi North,ADANSI NORTH,Ashanti,363,142,126,342,260,362,266,170,466,347,387,438,Ashanti
Adansi South,ADANSI SOUTH,Ashanti,429,376,258,279,320,237,668,637,181,752,803,530,Ashanti
Adentan,ADENTA MUNICIPAL,Greater Accra,935,784,1055,525,761,1110,920,526,762,1443,1417,729,Greater Accra
Afadjato South,AFADZATO SOUTH,Volta,754,838,742,480,630,813,1080,823,735,1225,1154,800,Volta
Afigya Kwabre North,AFIGYA KWABRE NORTH,Ashanti,568,425,412,393,311,514,695,384,396,1010,682,589,Ashanti
Afigya Kwabre South,AFIGYA KWABRE SOUTH,Ashanti,1059,1910,1837,1528,2012,2365,2292,1180,1969,1805,1649,1111,Ashanti
Afram Plains South,KWAHU AFRAM PLAINS SOUTH,Eastern,710,519,474,511,540,542,668,640,576,858,778,706,Eastern
Agona East,AGONA EAST,Central,919,727,788,581,734,913,1282,1009,592,967,1337,887,Central
Agona West,AGONA WEST MUNICIPAL,Central,1100,660,807,838,1100,1491,1763,873,829,1175,1809,1277,Central
Agortime-Ziope,AGOTIME ZIOPE,Volta,405,240,278,272,234,402,199,511,433,638,621,294,Volta
Ahafo Ano North,AHAFO ANO NORTH,Ashanti,1248,1083,1024,919,979,1641,1627,1441,1248,1357,1542,1242,Ashanti
Ahafo Ano South East,AHAFO ANO SOUTH EAST,Ashanti,704,615,629,673,565,1115,884,603,475,855,650,621,Ashanti
Ahafo Ano South West,AHAFO ANO SOUTH WEST,Ashanti,1139,802,884,952,1200,1612,1549,1125,715,1556,1238,1096,Ashanti
Ahanta West,AHANTA WEST MUNICIPAL,Western,1489,1449,1238,1147,1164,1422,1387,1071,883,1583,3001,1776,Western
Ajumako-Enyan-Essiam,AJUMAKO-ENYAN-ESSIAM,Central,2216,2081,2098,1942,1888,2695,2853,2100,1997,2731,2696,2208,Central
Akatsi North,AKATSI NORTH,Volta,275,174,198,196,196,337,363,292,340,673,419,364,Volta
Akatsi South,AKATSI SOUTH,Volta,469,420,1183,967,899,1151,1637,1045,821,1177,1906,1161,Volta
Akwapim North,AKWAPEM NORTH,Eastern,1307,1071,935,775,1089,1337,1629,1012,836,1197,1726,1375,Eastern
Akwapim South,AKWAPEM SOUTH,Eastern,360,466,516,469,541,496,767,674,475,1050,1525,794,Eastern
Akyemansa,AKYEM MANSA,Eastern,1349,1327,1351,893,945,1044,1612,1161,695,1459,2146,1742,Eastern
Amansie Central,AMANSIE CENTRAL,Ashanti,1428,1218,1202,1155,1185,1529,1976,1479,1033,2012,1618,1469,Ashanti
Amansie South,AMANSIE SOUTH,Ashanti,563,508,373,386,598,730,645,594,447,856,1263,565,Ashanti
Amansie West,AMANSIE WEST,Ashanti,289,275,295,301,305,394,514,413,234,482,606,309,Ashanti
Anloga,ANLOGA,Volta,645,400,519,269,475,405,612,516,361,652,1060,393,Volta
Aowin,AOWIN,Western North,1053,1108,996,962,1083,1222,1544,1168,1470,2412,2156,1843,Western North
Asante Akim Central,ASANTE AKIM CENTRAL MUNICIPAL,Ashanti,1056,1063,910,965,1072,1416,1107,867,735,1298,1084,992,Ashanti
Asante Akim North,ASANTE AKIM NORTH,Ashanti,1347,1282,1211,1080,1485,1569,1840,1580,1309,1922,1337,1290,Ashanti
Asante Akim South,ASANTE AKIM SOUTH,Ashanti,1824,1569,1575,1431,1684,1872,2699,2118,1791,3121,3258,2344,Ashanti
Asante Mampong,MAMPONG MUNICIPAL,Ashanti,1896,1652,1708,1605,1754,2068,1832,1404,1218,2454,1871,1302,Ashanti
Asene Manso Akroso,ASENE MANSO AKROSO,Eastern,594,524,598,515,744,746,836,502,471,825,1120,723,Eastern
Ashaiman,ASHAIMAN MUNICIPAL,Greater Accra,2565,1833,1123,1617,568,706,618,1568,1249,1781,3467,1529,Greater Accra
Asikuma-Odoben-Brakwa,ASIKUMA-ODOBEN-BRAKWA,Central,1601,1244,1119,1546,1184,1164,1625,1302,938,1592,2863,1877,Central
Asokore Mampong,ASOKORE MAMPONG MUNICIPAL,Ashanti,251,330,286,205,367,156,222,205,171,451,280,141,Ashanti
Asokwa,ASOKWA  MUNICIPAL,Ashanti,500,2306,3476,1337,1850,1549,1492,319,3993,3392,3489,639,Ashanti
Assin Foso,ASSIN CENTRAL MUNICIPAL,Central,1199,372,703,456,614,905,856,904,957,709,894,768,Central
Assin North,ASSIN NORTH,Central,594,410,384,271,396,538,704,577,575,1034,1015,1012,Central
Assin South,ASSIN SOUTH,Central,1314,1238,1141,1008,995,1257,1523,1195,894,1816,2138,1933,Central
Asunafo North,ASUNAFO NORTH MUNICIPAL,Ahafo,2399,2073,2293,2327,2642,3575,2776,2091,1741,2618,2924,2342,Ahafo
Asunafo South,ASUNAFO SOUTH,Ahafo,1815,1527,1740,2262,1875,2265,2740,2380,2159,2773,2922,2396,Ahafo
Asuogyaman,ASUOGYAMAN,Eastern,1986,2197,1900,1809,2053,2615,4353,2747,2596,4226,6142,2944,Eastern
Asutifi North,ASUTIFI NORTH,Ahafo,1662,1386,1407,1153,1157,1571,2486,1535,1186,2087,1902,1068,Ahafo
Asutifi South,ASUTIFI SOUTH,Ahafo,904,927,568,928,865,1087,1186,978,740,1633,1186,895,Ahafo
Atebubu-Amanten,ATEBUBU AMANTIN,Bono East,1293,1208,856,891,942,935,786,1320,1117,2085,1180,1216,Bono East
Atiwa East,ATIWA EAST,Eastern,6700,838,735,713,740,884,910,678,680,845,838,591,Eastern
Atiwa West,ATIWA WEST,Eastern,1278,1282,1735,1092,1309,1944,1783,1510,1088,1708,1778,1430,Eastern
Atwima Kwanwoma,ATWIMA KWANWOMA,Ashanti,1133,751,673,1127,1066,1605,1525,750,661,1599,1684,835,Ashanti
Atwima Mponua,ATWIMA MPONUA,Ashanti,1282,1470,1222,1279,723,1259,1632,1864,1551,1685,1825,1643,Ashanti
Atwima Nwabiagya,ATWIMA NWABIAGYA SOUTH,Ashanti,2626,2213,1922,1970,6494,4237,2955,1797,1504,3544,2967,1292,Ashanti
Atwima Nwabiagya North,ATWIMA NWABIAGYA NORTH,Ashanti,929,879,865,814,896,980,1266,835,714,958,785,698,Ashanti
Awutu Senya,AWUTU SENYA WEST,Central,1044,579,764,672,664,919,960,676,294,1164,1374,765,Central
Awutu Senya East,AWUTU SENYA EAST,Central,458,459,542,502,477,793,1656,1183,990,1823,2228,979,Central
Ayawaso Central,AYAWASO CENTRAL MUNICIPAL,Greater Accra,62,31,19,9,52,49,29,74,105,220,178,104,Greater Accra
Ayawaso East,AYAWASO EAST MUNICIPAL,Greater Accra,229,216,203,136,157,131,173,140,143,246,195,54,Greater Accra
Ayawaso North,AYAWASO NORTH MUNICIPAL,Greater Accra,184,79,150,138,93,146,254,172,208,365,501,286,Greater Accra
Ayawaso West,AYAWASO WEST,Greater Accra,,192,144,162,193,,230,132,253,259,703,172,Greater Accra
Ayensuano,AYENSUANO,Eastern,532,515,500,461,488,700,760,721,537,900,1256,872,Eastern
Banda,BANDA,Bono,1140,853,887,663,945,1094,1329,1006,875,1252,1021,1019,Bono
Bawku Municipal,BAWKU MUNICIPAL,Upper East,2188,1612,1421,784,1346,1207,1638,1044,2015,2446,1754,980,Upper East
Bawku West,BAWKU WEST,Upper East,1399,2070,2190,1652,1489,1302,1528,1468,3217,3653,1405,1118,Upper East
Bekwai,BEKWAI MUNICIPAL,Ashanti,1753,1275,1451,1113,1517,2284,2197,1388,1253,2476,1939,1483,Ashanti
Berekum,BEREKUM EAST MUNICIPAL,Bono,1341,1319,1069,1156,1340,2004,1997,1557,1252,2174,2339,1776,Bono
Berekum West,BEREKUM WEST,Bono,370,512,471,457,491,641,966,508,533,922,838,752,Bono
Bia East,BIA EAST,Western North,316,211,211,192,369,365,446,331,42,557,592,532,Western North
Bia West,BIA WEST,Western North,1626,1347,1759,4549,1202,1671,1701,1082,1817,931,2120,1756,Western North
Biakoye,BIAKOYE,Oti,852,990,766,604,701,917,1412,1293,1046,1323,1337,1178,Oti
Bibiani-Anhwiaso-Bekwai,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,Western North,2930,3290,2619,2774,3053,3783,4278,3476,2650,4184,3832,3024,Western North
Binduri,BINDURI,Upper East,832,828,778,846,885,796,865,1512,1400,1008,810,472,Upper East
Birim Central,BIRIM CENTRAL MUNICIPAL,Eastern,2648,2291,2286,1637,2033,1918,2476,2126,1481,2678,2719,2191,Eastern
Birim North,BIRIM NORTH,Eastern,2482,2155,1850,1612,1239,1663,1548,1599,1168,1769,1801,1526,Eastern
Birim South,BIRIM SOUTH,Eastern,815,711,696,623,789,844,948,789,712,820,1089,1123,Eastern
Bodi,BODI,Western North,508,449,416,403,394,517,651,396,517,822,677,542,Western North
Bole,BOLE,Savannah,1550,1783,1657,1419,1415,1794,2527,2327,2262,2313,2741,1722,Savannah
Bolgatanga East,BOLGA  EAST,Upper East,272,245,369,271,201,212,310,403,352,463,298,346,Upper East
Bolgatanga Municipal,BOLGATANGA MUNICIPAL,Upper East,2693,3858,2884,2316,2784,3032,3640,4338,3413,4968,4668,3487,Upper East
Bongo,BONGO,Upper East,1477,1469,1198,1124,1430,1226,1588,1612,2378,2711,1438,1295,Upper East
Bosome Freho,BOSOME FREHO,Ashanti,686,559,549,479,580,637,730,594,490,1021,1270,641,Ashanti
Bosomtwe,BOSOMTWE,Ashanti,1372,925,1109,1171,1442,1662,1616,1163,743,1762,1591,648,Ashanti
Builsa North,BUILSA NORTH,Upper East,979,1181,530,571,774,571,721,583,497,631,968,349,Upper East
Builsa South,BUILSA SOUTH,Upper East,294,395,377,328,277,324,274,473,986,685,361,273,Upper East
Bunkpurugu -Nakpanduri,BUNKPURUGU NAKPANDURI,North East,1816,1301,1536,1590,1283,1055,1259,2554,2739,1865,1343,841,North East
Cape Coast,CAPE COAST METROPOLITAN,Central,2519,2338,2155,2473,2961,2832,4184,2667,3052,4236,5852,2409,Central
Central Gonja,CENTRAL GONJA,Savannah,1236,792,777,758,723,898,1131,1436,1216,1664,1452,930,Savannah
Central Tongu,CENTRAL TONGU,Volta,1177,1015,1127,928,829,1244,1805,1422,1013,1858,2357,1445,Volta
Chereponi,CHEREPONI,North East,34,172,222,176,85,19,279,362,191,174,243,120,North East
Daffiama-Bussie-Issa,DAFFIAMA BUSSIE ISSA,Upper West,548,611,668,392,436,416,655,907,962,1042,835,565,Upper West
Denkyembour,DENKYEMBOUR,Eastern,1891,1914,1852,1626,1879,2574,2622,1369,930,1359,2673,1579,Eastern
Dormaa East,DORMAA EAST,Bono,1528,1857,1816,1155,1183,1934,2169,1535,1181,1420,2237,1548,Bono
Dormaa Municipal,DORMAA MUNICIPAL,Bono,1162,1134,971,690,753,1576,1631,1291,898,1759,1255,1179,Bono
Dormaa West,DORMAA WEST,Bono,729,735,866,647,987,1065,700,917,731,1262,1346,945,Bono
East Akim - Abuakwa South,ABUAKWA SOUTH MUNICIPAL,Eastern,1201,1182,1150,1108,948,973,1726,843,712,1579,2103,1165,Eastern
East Gonja,EAST GONJA MUNICIPAL,Savannah,351,333,314,255,212,500,558,562,536,439,419,339,Savannah
East Mamprusi,EAST MAMPRUSI,North East,1497,1597,1636,1716,1605,1450,2400,2627,3010,5401,3986,2138,North East
Effia-Kwesimintsim,EFFIA KWESIMINTSIM MUNICIPAL,Western,1366,1788,2065,2159,1807,1870,2172,1601,1513,2489,2390,2011,Western
Efutu,EFFUTU MUNICIPAL,Central,1846,2092,1836,1355,1256,2408,1994,1773,1448,2177,2870,1707,Central
Ejisu,EJISU MUNICIPAL,Ashanti,1562,1340,1279,1277,1536,2015,2099,1498,1288,2656,2281,1402,Ashanti
Ejura-Sekyedumase,EJURA-SEKYEDUMASE,Ashanti,839,627,528,802,653,784,812,743,565,1076,596,544,Ashanti
Ekumfi,EKUMFI,Central,533,525,487,483,563,733,813,634,510,864,1368,1095,Central
Ellembelle,ELLEMBELLE,Western,3324,2379,2805,2634,2307,4056,4432,3041,2600,3700,4674,3156,Western
Fanteakwa North,FANTEAKWA NORTH,Eastern,923,731,813,613,690,893,641,1069,709,1242,1251,965,Eastern
Fanteakwa South,FANTEAKWA SOUTH,Eastern,698,619,746,730,710,657,703,766,392,708,726,661,Eastern
Ga Central,GA CENTRAL MUNICIPAL,Greater Accra,185,135,238,159,187,311,467,385,368,663,694,382,Greater Accra
Ga East,GA EAST,Greater Accra,299,258,323,382,532,634,826,471,442,973,1177,495,Greater Accra
Ga North,GA NORTH MUNICIPAL,Greater Accra,509,666,433,330,348,829,963,724,621,1370,1653,998,Greater Accra
Ga South,GA SOUTH MUNICIPAL,Greater Accra,431,521,507,408,450,465,515,571,532,685,1068,681,Greater Accra
Ga West,GA WEST MUNICIPAL,Greater Accra,491,509,429,652,588,789,709,773,528,826,1081,796,Greater Accra
Garu,GARU,Upper East,657,1284,1678,1014,825,594,1037,1068,1459,2052,1288,675,Upper East
Gomoa Central,GOMOA CENTRAL,Central,413,349,462,361,441,664,563,415,289,462,940,604,Central
Gomoa East,GOMOA EAST,Central,774,598,695,537,590,799,1144,762,581,1214,1910,1192,Central
Gomoa West,GOMOA WEST,Central,932,763,669,751,1001,1433,1262,729,645,1160,2226,1304,Central
Gushiegu,GUSHEGU,Northern,801,467,478,1553,446,517,1003,707,1208,838,1231,733,Northern
Ho,HO MUNICIPAL,Volta,2545,2227,2090,1817,1845,2165,3998,2773,1793,4200,4599,3135,Volta
Ho West,HO WEST,Volta,897,727,752,611,636,693,1016,1066,706,1403,1564,1094,Volta
Hohoe,HOHOE MUNICIPAL,Volta,1564,1279,1097,949,1005,1193,1557,1072,835,1689,1199,1130,Volta
Jaman North,JAMAN NORTH,Bono,2798,3177,2692,2374,3091,2848,3544,3344,3266,4167,8171,3558,Bono
